ᖃᖑᖅᐸᓪᓕᐊᓂᖓᓄᑦ	ᖃᖑᖅ@ᐸᓪᓕᐊ@ᓂ@ᖓᓄᑦ
ᖃᐅᔨᒪᒐᒥᐅᒃ	ᖃᐅᔨᒪ@ᒐᒥᐅᒃ
ᐊᒥᓱᓄ	ᐊᒥᓱ@ᓄ
ᐱᒋᐊᖓᐅᑎᓪᓚᕆᐊᓄ	ᐱ@ᒋᐊ@ᖓ@ᐅᑎ@ᓪᓚᕆ@ᐊᓄ
ᑎᑭᒋᐊᕌᖓᑦ	ᑎᑭ@ᒋᐊ@ᕌᖓᑦ
ᐃᓯᖅᑕᐅᕙᓪᓕᐊᔪᓂᒃ	ᐃᓯᖅ@ᑕ@ᐅ@ᕙᓪᓕᐊ@ᔪ@ᓂᒃ
ᖃᐃᖁᔭᐅᒐᔭᖅᑐᒃᓴᐅᕗᑦ	ᖃᐃ@ᖁ@ᔭ@ᐅ@ᒐ@ᔭᖅ@ᑐᒃᓴ@ᐅ@ᕗᑦ
ᑭᐅᔭᐅᔪᓐᓇᖅᐳᑦ	ᑭᐅ@ᔭ@ᐅ@ᔪᓐᓇᖅ@ᐳᑦ
ᐱᐊᕋᓕᕆᓂᕐᒧᑦ	ᐱᐊᕋ@ᓕᕆ@ᓂᕐ@ᒧᑦ
ᖃᐅᔨᓵᖃᕋᔪᒃᐳᑦ	ᖃᐅᔨ@ᓵ@ᖃ@ᕋᔪᒃ@ᐳᑦ
ᓈᒻᒪᒍᓱᖃᑦᑕᕈᓐᓃᕐᒪᑕ	ᓈᒻᒪ@ᒍᓱ@ᖃᑦᑕ@ᕈᓐᓃᕐ@ᒪᑕ
ᓴᓇᔪᓕᕆᓂᕐᒧ	ᓴᓇ@ᔪ@ᓕᕆ@ᓂᕐ@ᒧ
ᓯᓂᒐᓱᐊᓕᖅᐸᒻᒪᑕ	ᓯᓂ@ᒐᓱᐊ@ᓕᖅ@ᐸᒻ@ᒪᑕ
ᑎᑭᐅᑎᓚᖓᒍᑦᑕ	ᑎᑭ@ᐅ@ᑎ@ᓚᖓ@ᒍᑦᑕ
ᒪᑐᐃᖁᔨᓪᓗᖓ	ᒪᑐ@ᐃ@ᖁ@ᔨ@ᓪᓗᖓ
ᐃᑲᔪᖃᑎᒋᒃᑲᓐᓂᕈᓐᓇᕐᒪᖔᑦᑕ	ᐃᑲᔪ@ᖃᑎ@ᒋ@ᒃᑲᓐᓂ@ᕈᓐᓇᕐ@ᒪᖔᑦᑕ
ᐅᒡᓗᒥᒧᑦ	ᐅᒡᓗᒥ@ᒧᑦ
ᐊᐅᖑᔪᑦ	ᐊᐅ@ᖑ@ᔪᑦ
ᐊᑐᖅᐱᓯᐅᒃ	ᐊᑐᖅ@ᐱᓯᐅᒃ
ᑭᓯᐊᓂᖅ	ᑭᓯ@ᐊ@ᓂᖅ
ᐃᑲᔪᖅᐸᑦᑐᑦ	ᐃᑲᔪᖅ@ᐸᑦ@ᑐᑦ
