ᐊᖑᓇᓱᒃᑕᐅᔪᓐᓇᖅᑐᑦ	ᐊᖑ@ᓇᓱᒃ@ᑕ@ᐅ@ᔪᓐᓇᖅ@ᑐᑦ
ᓂᓪᓕᕈᓐᓇᓯᒻᒪᑕ	ᓂᓪᓕ@ᕈᓐᓇ@ᓯ@ᒻᒪᑕ
ᐃᖅᑲᓇᐃᔮᖃᕐᓗᓂ	ᐃᖅᑲᓇᐃᔮ@ᖃᕐ@ᓗᓂ
ᐃᒥᖃᐅᑎᖃᕐᕕᖓᑦᑕ	ᐃᒥ@ᖃᐅᑎ@ᖃᕐᕕ@ᖓᑦᑕ
ᐱᒋᐊᖅᑎᑕᐅᔪᒪᔪᓄᑦ	ᐱ@ᒋᐊᖅ@ᑎ@ᑕ@ᐅ@ᔪᒪ@ᔪ@ᓄᑦ
ᖃᐅᔨᒪᒍᒥᓇᖅᐳᖅ	ᖃᐅᔨᒪ@ᒍᒥᓇᖅ@ᐳᖅ
ᑕᐃᒪᐃᓕᒍᒪᒍᑦᓯᐅᒃ	ᑕᐃ@ᒪ@ᐃ@ᓕ@ᒍᒪ@ᒍᑦᓯᐅᒃ
ᐊᑦᑕᕐᓇᒻᒪᕆᖕᒪᑦ	ᐊᑦᑕᕐ@ᓇ@ᒻᒪᕆᖕ@ᒪᑦ
ᖁᕕᐊᒋᔭᐅᑉᓗᓂ	ᖁᕕᐊ@ᒋ@ᔭ@ᐅ@ᑉᓗᓂ
ᑕᑯᓴᕋᒃᑯ	ᑕᑯ@ᓴ@ᕋᒃᑯ
ᑕᒪᑐᒪᓂ	ᑕᒪᑐ@ᒪᓂ
ᐱᓇᓱᐃᓐᓇᕐᒪᑕ	ᐱ@ᓇᓱ@ᐃᓐᓇᕐ@ᒪᑕ
ᕿᓂᖅᐸᓪᓕᐊᓕᖅᑐᒍᑦ	ᕿᓂᖅ@ᐸᓪᓕᐊ@ᓕᖅ@ᑐᒍᑦ
ᐅᐱᒋᓯᐅᒃ	ᐅᐱ@ᒋ@ᓯᐅᒃ
ᓂᕿ	ᓂᕿ
ᐃᑲᔪᕈᓐᓇᑦᓯᐊᕐᒪᑕᓗ	ᐃᑲᔪ@ᕈᓐᓇ@ᑦᓯᐊᕐ@ᒪᑕ@ᓗ
ᓂᕆᖃᑦᑕᕐᓂᕐᒧᑦ	ᓂᕆ@ᖃᑦᑕᕐ@ᓂᕐ@ᒧᑦ
ᓴᖅᑭᑦᑕᒃᓴᖃᕋᒪ	ᓴᖅᑭᑦ@ᑕ@ᒃᓴ@ᖃ@ᕋᒪ
ᑲᒪᕙᑦᑐᒧᑦ	ᑲᒪ@ᕙᑦ@ᑐ@ᒧᑦ
ᐊᕐᓇᕐᔪᐊᑉ	ᐊᕐᓇᕐ@ᔪᐊ@ᑉ
ᐃᓚᖃᖅᐸᒻᒪᑕ	ᐃᓚ@ᖃᖅ@ᐸᒻ@ᒪᑕ
ᓂᖓᐅᒐ	ᓂᖓᐅ@ᒐ
ᐊᔾᔨᑐᐃᓐᓇᕆᖕᒪᒍ	ᐊᔾᔨ@ᑐᐃᓐᓇ@ᕆ@ᖕᒪᒍ
ᑐᕌᖓᓗᐊᕐᒪᑕ	ᑐᕌ@ᖓ@ᓗᐊᕐ@ᒪᑕ
ᓈᓚᓐᓂᖃᖅᑎᓪᓗᒋᑦ	ᓈᓚᓐ@ᓂ@ᖃᖅ@ᑎᓪᓗᒋᑦ
ᐅᒥᖕᒪᑦᑖᕐᒥᑦ	ᐅᒥᖕᒪᑦ@ᑖᕐ@ᒥᑦ
ᐋᖅᑭᒃᓱᐃᔨᐅᖃᑕᐅᒻᒪᑕ	ᐋᖅᑭᒃ@ᓱ@ᐃ@ᔨ@ᐅ@ᖃᑕᐅ@ᒻᒪᑕ
