ᐃᒡᓗᖁᑎᒋᔭᐅᖕᒪᖔᑕ	ᐃᒡᓗ@ᖁᑎ@ᒋ@ᔭ@ᐅ@ᖕᒪᖔᑕ
ᐊᖑᒻᒥᒃ	ᐊᖑᒻ@ᒥᒃ
ᒪᓕᒍᓐᓃᕐᒪᖔᑦ	ᒪᓕ@ᒍᓐᓃᕐ@ᒪᖔᑦ
ᓂᐱᓂᒃ	ᓂᐱ@ᓂᒃ
ᓇᑦᑎᕋᐃᒻᒪᑕ	ᓇᑦᑎ@ᕋ@ᐃᒻ@ᒪᑕ
ᑲᑎᔨᒪᖏᑕ	ᑲᑎ@ᔨ@ᒪ@ᖏ@ᑕ
ᐃᓕᓴᕆᔪᓐᓇᕈᕕᒋᒃ	ᐃᓕᓴ@ᕆ@ᔪᓐᓇ@ᕈᕕᒋᒃ
ᐊᐱᖅᓱᕇᖅᐲᑦ	ᐊᐱᖅ@ᓱ@ᕇᖅ@ᐲᑦ
ᐅᖁᒪᐃᒃᓴᓗᐊᖁᓇᒋᑦ	ᐅᖁᒪᐃ@ᒃᓴ@ᓗᐊ@ᖁ@ᓇ@ᒋᑦ
ᐊᑭᓕᒃᓴᖃᓚᐅᕐᓂᖓᑎᒍᑦ	ᐊᑭ@ᓕ@ᒃᓴ@ᖃ@ᓚᐅᕐ@ᓂ@ᖓᑎᒍᑦ
ᐃᓄᒋᐊᔅᓯᕙᓪᓕᐊᒻᒪᑕ	ᐃᓄᒋᐊᔅ@ᓯ@ᕙᓪᓕᐊ@ᒻᒪᑕ
ᖃᐅᔨᓴᓚᐅᕐᒪᑕ	ᖃᐅᔨ@ᓴ@ᓚᐅᕐ@ᒪᑕ
ᐱᔭᒃᓴᖅᑖᕆᓯᒪᔭᖓᑦᑕ	ᐱ@ᔭ@ᒃᓴᖅ@ᑖ@ᕆ@ᓯ@ᒪ@ᔭ@ᖓ@ᑦᑕ
ᑕᐃᒪᐃᑉᐸᒥᒻᒪᑦ	ᑕᐃᒪᐃᑉ@ᐸ@ᒥ@ᒻᒪᑦ
ᓄᓇᑦᓯᐊᕙᐅᖏᓂᕐᒥ	ᓄᓇ@ᑦᓯᐊᕙ@ᐅ@ᖏ@ᓂᕐ@ᒥ
ᐊᖏᕈᔅᓯᐅᒃ	ᐊᖏ@ᕈᔅᓯᐅᒃ
ᐅᓂᒃᑳᕆᔪᓐᓇᓯᒻᒥᔭᑎᑦ	ᐅᓂᒃᑳ@ᕆ@ᔪᓐᓇ@ᓯ@ᒻᒥ@ᔭᑎᑦ
ᑎᑎᖅᑐᒐᕐᓂᖅ	ᑎᑎᖅ@ᑐ@ᒐᕐ@ᓂᖅ
ᑲᒪᒋᔭᐅᔪᒃᓴᐅᕗᖅ	ᑲᒪ@ᒋ@ᔭ@ᐅ@ᔪᒃᓴ@ᐅ@ᕗᖅ
ᐅᖃᕋᓱᖅᑰᕐᒪᑦ	ᐅᖃ@ᕋᓱ@ᖅᑰᕐ@ᒪᑦ
ᓇᔪᒐᖓᑦ	ᓇᔪ@ᒐ@ᖓᑦ
ᐆᒻᒪᖅᑎᑦᑎᒐᓱᐊᖅᑐᑦ	ᐆᒻᒪᖅ@ᑎᑦ@ᑎ@ᒐᓱᐊᖅ@ᑐᑦ
ᐊᓪᓚᕝᕕᖃᐅᙱᒻᒪᑕ	ᐊᓪᓚᕝ@ᕕ@ᖃᐅ@ᙱᒻ@ᒪᑕ
ᐃᓂᖃᖅᑎᑦᑎᖕᒪᑦ	ᐃᓂ@ᖃᖅ@ᑎᑦ@ᑎ@ᖕᒪᑦ
ᐊᔪᓪᓚᕆᖃᑦᑕᕐᒪᑕ	ᐊᔪ@ᓪᓚᕆ@ᖃᑦᑕᕐ@ᒪᑕ
ᑐᓵᔪᒪᔪᑦ	ᑐᓵ@ᔪᒪ@ᔪᑦ
ᐃᖏᕐᕋᓪᓚᕆᓕᕐᒪᑦ	ᐃᖏᕐᕋ@ᓪᓚᕆ@ᓕᕐ@ᒪᑦ
ᐃᓱᒪᒋᒍᓂᐅᒃ	ᐃᓱᒪ@ᒋ@ᒍᓂᐅᒃ
ᐊᔾᔨᐅᙱᒻᒪᑕ	ᐊᔾᔨ@ᐅ@ᙱᒻ@ᒪᑕ
ᒥᓂᔅᑕᐅᕝᕕᒋᓪᓗᓂᐅᒃ	ᒥᓂᔅᑕ@ᐅ@ᕝᕕ@ᒋ@ᓪᓗᓂᐅᒃ
ᐊᒃᓱᕈᓐᓇᕐᒪᑦ	ᐊᒃᓱ@ᕈᓐ@ᓇᕐ@ᒪᑦ
ᐱᕈᖅᐸᓪᓕᐊᔪᒧᑦ	ᐱᕈᖅ@ᐸᓪᓕᐊ@ᔪ@ᒧᑦ
ᖃᐅᔨᒪᖕᒪᑦ	ᖃᐅᔨᒪ@ᖕᒪᑦ
ᑭᐅᔪᓐᓇᕆᒃᑭᑦ	ᑭᐅ@ᔪᓐᓇ@ᕆᒃᑭᑦ
ᐊᐱᕆᒋᐊᕋᕕᑦ	ᐊᐱᕆ@ᒋᐊ@ᕋᕕᑦ
ᐋᖅᑭᑦᑕᐅᕙᒻᒪᖔᖅ	ᐋᖅᑭᑦ@ᑕ@ᐅ@ᕙᒻ@ᒪᖔᖅ
ᖃᐅᔨᔭᐅᔪᒃᓴᐅᕗᖅ	ᖃᐅᔨ@ᔭ@ᐅ@ᔪᒃᓴ@ᐅ@ᕗᖅ
ᖃᐅᔨᓴᕐᕕᖃᙱᑦᑐᒍᑦ	ᖃᐅᔨ@ᓴᕐ@ᕕ@ᖃ@ᙱᑦ@ᑐᒍᑦ
ᐅᖃᐅᑕᐅᒐᔪᖕᒪᑦ	ᐅᖃ@ᐅᑕ@ᐅ@ᒐᔪᖕ@ᒪᑦ
ᕿᒥᕐᕈᔭᐅᖕᒪᒡᒎᖅ	ᕿᒥᕐᕈ@ᔭ@ᐅ@ᖕᒪᒡ@ᒎᖅ
ᐱᐊᓂᓚᐅᖅᐳᑦ	ᐱ@ᐊᓂ@ᓚᐅᖅ@ᐳᑦ
ᑭᐅᖃᑦᑕᕐᒪᖔᑦ	ᑭᐅ@ᖃᑦᑕᕐ@ᒪᖔᑦ
ᐱᕙᓪᓕᐊᑎᑦᓯᕗᖅ	ᐱ@ᕙᓪᓕᐊ@ᑎᑦ@ᓯ@ᕗᖅ
ᐱᔪᒥᓇᔾᔮᙱᒻᒪᑕ	ᐱ@ᔪᒥᓇ@ᔾᔮ@ᙱᒻ@ᒪᑕ
ᒫᓐᓇᐅᔪᒧ	ᒫᓐᓇ@ᐅ@ᔪ@ᒧ
ᑳᓐᑐᕌᑦᑕ	ᑳᓐᑐᕌᑦ@ᑕ
ᓄᓇᖁᑎᖃᕐᓂᖅ	ᓄᓇ@ᖁᑎ@ᖃᕐ@ᓂᖅ
ᓄᖅᑲᖓᑎᑦᑎᕙᒻᒪᑦ	ᓄᖅᑲ@ᖓ@ᑎᑦ@ᑎ@ᕙᒻ@ᒪᑦ
ᐱᓕᕆᖃᑎᒌᓐᓂᕆᔭᖅᐳᑦ	ᐱ@ᓕᕆ@ᖃᑎ@ᒌᓐ@ᓂ@ᕆ@ᔭᖅ@ᐳᑦ
ᐅᖃᐅᔾᔨᕙᑉᐳᑦ	ᐅᖃ@ᐅᔾ@ᔨ@ᕙᑉ@ᐳᑦ
ᐊᑭᐸᓗᖓᓂᒃ	ᐊᑭ@ᐸᓗ@ᖓᓂᒃ
ᑕᓪᓕᒪᒃᑲᓐᓂᐅᔪᓄᑦ	ᑕᓪᓕᒪ@ᒃᑲᓐᓂ@ᐅ@ᔪ@ᓄᑦ
ᕿᒥᕐᕈᓐᓂᕐᒧᑦ	ᕿᒥᕐᕈ@ᓐ@ᓂᕐ@ᒧᑦ
ᐅᕙᑉᑎᓐᓄᑐᐊᖅ	ᐅᕙ@ᑉᑎᓐᓄ@ᑐᐊᖅ
ᖃᖓᙳᐊᓗᒃᑳᖓᑦ	ᖃᖓ@ᙳᐊ@ᓗᒃ@ᑳᖓᑦ
ᐃᓂᖅᑎᕆᓚᐅᖅᑐᑦ	ᐃᓂᖅ@ᑎ@ᕆ@ᓚᐅᖅ@ᑐᑦ
ᐊᐅᓚᑦᑎᔪᓐᓇᑲᓐᓂᕐᓂᖅ	ᐊᐅᓚᑦ@ᑎ@ᔪᓐᓇ@ᑲᓐᓂᕐ@ᓂᖅ
ᓇᒻᒥᓂᐅᔪᓂᒃ	ᓇᒻᒥᓂ@ᐅ@ᔪ@ᓂᒃ
ᐃᑲᔪᖅᑎᖅ	ᐃᑲᔪᖅ@ᑎᖅ
ᒪᓕᑦᑕᐅᕙᒃᑐᑦ	ᒪᓕᑦ@ᑕ@ᐅ@ᕙᒃ@ᑐᑦ
ᓴᓇᔭᐅᔪᒃᓴᐅᑕᐅᓪᓗᓂ	ᓴᓇ@ᔭ@ᐅ@ᔪ@ᒃᓴ@ᐅᑕ@ᐅ@ᓪᓗᓂ
ᑎᒍᑲᓴᖅᑰᕐᒪᒍ	ᑎᒍ@ᑲᓴ@ᖅᑰᕐ@ᒪᒍ
ᓯᓚᑖᓕᒃ	ᓯᓚ@ᑖ@ᓕᒃ
ᐃᓪᓗᖃᖅᑎᑦᓯᔨᓂᒃ	ᐃᓪᓗ@ᖃᖅ@ᑎ@ᑦᓯ@ᔨ@ᓂᒃ
ᐅᑉᐱᕆᓗᒋᑦ	ᐅᑉᐱᕆ@ᓗ@ᒋᑦ
ᑐᕌᖓᓪᓗᐊᕐᒪᑦ	ᑐᕌ@ᖓ@ᓪᓗᐊᕐ@ᒪᑦ
ᑕᖃᓚᐅᕐᒪᑦ	ᑕᖃ@ᓚᐅᕐ@ᒪᑦ
ᑕᑯᒋᐊᖅᑕᐅᔪᓐᓇᖃᑦᑕᖅᑐᑦ	ᑕᑯ@ᒋᐊᖅ@ᑕ@ᐅ@ᔪᓐᓇ@ᖃᑦᑕᖅ@ᑐᑦ
ᐃᖅᑲᓇᐃᔮᓪᓚᕆᒻᒧᑦ	ᐃᖅᑲᓇᐃᔮ@ᓪᓚᕆᒻ@ᒧᑦ
