ᒥᓂᔅᑕ	ᒥᓂᔅᑕ
ᒥᔅᑕ	ᒥᔅᑕ
ᑖᒃᑯᐊ	ᑖᒃᑯᐊ
ᐊᒻᒪ	ᐊᒻᒪ
ᑕᒪᓐᓇ	ᑕᒪᓐᓇ
ᐊᖓᔪᖅᑳᖅ	ᐊᖓᔪᖅᑳᖅ
ᑕᒪᒃᑯᐊ	ᑕᒪᒃᑯᐊ
ᑕᐃᒃᑯᐊ	ᑕᐃᒃᑯᐊ
ᑕᐃᒪ	ᑕᐃᒪ
ᖃᓄᖅ	ᖃᓄᖅ
ᒫᓐᓇ	ᒫᓐᓇ
ᑰᓕ	ᑰ@ᓕ
ᒥᔅ	ᒥᔅ
ᐅᑲᓕᖅ	ᐅᑲᓕᖅ
ᐊᖏᖅᐳᒍᑦ	ᐊᖏᖅ@ᐳᒍᑦ
ᒥᔅᑐ	ᒥᔅᑐ
ᐃᓄᒃ	ᐃᓄᒃ
ᑕᒪᒃᑯᓂᖓ	ᑕᒪᒃᑯ@ᓂᖓ
ᑕᐃᒫᒃ	ᑕᐃᒫᒃ
ᑖᒃᑯᓄᖓ	ᑖᒃᑯ@ᓄᖓ
ᑕᒪᑐᒥᖓ	ᑕᒪᑐ@ᒥᖓ
ᒥᓕᐊᓐ	ᒥᓕᐊᓐ
ᑕᒪᒃᑯᓄᖓ	ᑕᒪᒃᑯ@ᓄᖓ
ᐅᓇ	ᐅᓇ
ᑖᒻᓴᓐ	ᑖᒻᓴᓐ
ᑕᕝᕙ	ᑕᕝᕙ
ᑕᒪᑐᒧᖓ	ᑕᒪᑐ@ᒧᖓ
ᐃᒪᓐᓇ	ᐃᒪᓐᓇ
ᒐᕙᒪᒃᑯᓐᓄᑦ	ᒐᕙᒪ@ᒃᑯᓐ@ᓄᑦ
ᓇᒻᒥᓂᖅ	ᓇᒻᒥᓂᖅ
ᑲᒪᒋᔭᓕᒃ	ᑲᒪ@ᒋ@ᔭ@ᓕᒃ
ᐊᖏᖅᐱᓯᐅᒃ	ᐊᖏᖅ@ᐱᓯᐅᒃ
ᐅᒡᔪᒃ	ᐅᒡᔪᒃ
ᑕᐅᓴᓐ	ᑕᐅᓴᓐ
ᒥᓂᔅᑕᒧᑦ	ᒥᓂᔅᑕ@ᒧᑦ
ᐊᒻᒪᑦᑕᐅᖅ	ᐊᒻᒪ@ᑦᑕᐅᖅ
ᓇᑦᑎᖅ	ᓇᑦᑎᖅ
ᓯᕗᓪᓕᖅᐹᖅ	ᓯᕗ@ᓪᓕᖅ@ᐹᖅ
ᒫᑦᓯ	ᒫᑦᓯ
ᑕᐃᒪᐃᒻᒪᑦ	ᑕᐃᒪᐃᒻ@ᒪᑦ
ᐊᕐᕌᒍᑕᒫᑦ	ᐊᕐᕌᒍ@ᑕᒫᑦ
ᓄᑕᕋᖅ	ᓄᑕᕋᖅ
ᑕᐃᒃᑯᓄᖓ	ᑕᐃᒃᑯ@ᓄᖓ
ᐱᖁᔭᒃᓴᖅ	ᐱ@ᖁ@ᔭ@ᒃᓴᖅ
ᐱᖓᔪᐊᓐᓂᒃ	ᐱᖓᔪᐊᓐ@ᓂᒃ
ᑕᐃᕕᑦ	ᑕᐃ@ᕕᑦ
ᐱᕙᓪᓕᐊᔪᓕᕆᓂᕐᒧᑦ	ᐱ@ᕙᓪᓕᐊ@ᔪ@ᓕᕆ@ᓂᕐ@ᒧᑦ
ᐊᖓᔪᖅᑳᑉ	ᐊᖓᔪᖅᑳ@ᑉ
ᐅᕙᖓ	ᐅᕙᖓ
ᐅᕙᒍᑦ	ᐅᕙᒍᑦ
ᐊᕙᑎᓕᕆᓂᕐᒧᑦ	ᐊᕙᑎ@ᓕᕆ@ᓂᕐ@ᒧᑦ
ᐊᕐᕌᒍᓄᑦ	ᐊᕐᕌᒍ@ᓄᑦ
ᖃᖓ	ᖃᖓ
ᐅᓪᓗᒥᒧᑦ	ᐅᓪᓗᒥ@ᒧᑦ
ᒐᕙᒪᒃᑯᓐᓂᑦ	ᒐᕙᒪ@ᒃᑯᓐ@ᓂᑦ
ᑭᐅᔾᔪᑎᒃ	ᑭᐅ@ᔾᔪᑎᒃ
ᐃᓚᖓᑦ	ᐃᓚ@ᖓᑦ
ᓄᑕᕋᒃ	ᓄ@ᑕ@ᕋᒃ
ᑕᒪᑐᒪ	ᑕᒪᑐ@ᒪ
ᐅᕙᑦᑎᓐᓄᑦ	ᐅᕙ@ᑦᑎᓐᓄᑦ
ᐅᕙᓐᓄᑦ	ᐅᕙ@ᓐᓄᑦ
ᐊᒥᓱᑦ	ᐊᒥᓱᑦ
