ᐱᓕᕆᕕᐊᓄᑦ	ᐱ@ᓕᕆ@ᕕ@ᐊᓄᑦ
ᑕᖅᑲᒃᑯᓂᖓ	ᑕᖅᑲᒃᑯ@ᓂᖓ
ᐊᓯᐊᑦᑕᐅᖅ	ᐊᓯ@ᐊ@ᑦᑕᐅᖅ
ᑕᐃᒃᑯᐊᓗ	ᑕᐃᒃᑯᐊ@ᓗ
ᐊᑯᓂᒃ	ᐊᑯ@ᓂᒃ
ᑲᔪᓯᒋᐊᕆᑦ	ᑲᔪᓯ@ᒋᐊ@ᕆᑦ
ᒥᓂᔅᑕᖃᕐᕕᒃ	ᒥᓂᔅᑕ@ᖃᕐᕕᒃ
ᓱᓇᓂᒃ	ᓱᓇ@ᓂᒃ
ᒪᑉᐱᒐᖅ	ᒪᑉᐱ@ᒐᖅ
ᑕᐃᕕᑦ	ᑕᐃ@ᕕᑦ
ᐊᖏᔪᒥᑦ	ᐊᖏ@ᔪ@ᒥᑦ
ᐱᕙᓪᓕᐊᔪᓕᕆᓂᖅ	ᐱ@ᕙᓪᓕᐊ@ᔪ@ᓕᕆ@ᓂᖅ
ᐊᑐᓂᑦ	ᐊᑐᓂᑦ
ᒪᑉᐱᖅᑐᒐᕐᒧᑦ	ᒪᑉᐱᖅ@ᑐ@ᒐᕐ@ᒧᑦ
ᓴᓂᑭᓗᐊᑉ	ᓴᓂᑭᓗᐊ@ᑉ
ᓴᖅᑭᑎᕆᓂᖅ	ᓴᖅᑭ@ᑎ@ᕆ@ᓂᖅ
ᑕᓪᓕᒪᓂᒃ	ᑕᓪᓕᒪ@ᓂᒃ
ᐅᖓᓯᒃᑐᒧᑦ	ᐅᖓᓯᒃ@ᑐ@ᒧᑦ
ᐃᓚᒌᓄᓪᓗ	ᐃᓚ@ᒌ@ᓄᓪ@ᓗ
ᐊᔾᔨᖓᓂᑦ	ᐊᔾᔨ@ᖓᓂᑦ
ᐊᔾᔨᒌᖏᒻᒪᑕ	ᐊᔾᔨ@ᒌ@ᖏᒻ@ᒪᑕ
ᖃᒪᓂᑦᑐᐊᕐᒥᑦ	ᖃᒪᓂᑦᑐᐊᕐ@ᒥᑦ
ᖁᔭᓐᓇᒦᕈᒪᒻᒥᔭᕋ	ᖁᔭᓐᓇᒦ@ᕈᒪ@ᒻᒥ@ᔭᕋ
ᐱᖁᔭᒃᓴᒧᑦ	ᐱ@ᖁ@ᔭ@ᒃᓴ@ᒧᑦ
ᑐᐊᕕᕐᓇᖅᑐᖃᖅᑎᓪᓗᒍ	ᑐᐊᕕᕐ@ᓇᖅ@ᑐ@ᖃᖅ@ᑎᓪᓗᒍ
ᒥᓂᔅᑕᐅᔪᒥᒃ	ᒥᓂᔅᑕ@ᐅ@ᔪ@ᒥᒃ
ᐃᓗᐊᓂᑦ	ᐃᓗ@ᐊᓂᑦ
ᐊᑭᖓᓄᑦ	ᐊᑭ@ᖓᓄᑦ
ᓇᒧᑐᐃᓐᓇᖅ	ᓇᒧ@ᑐᐃᓐᓇᖅ
ᐊᒥᑦᑐᕐᒧᑦ	ᐊᒥᑦᑐᕐ@ᒧᑦ
ᒐᕙᒪᒃᑯᓐᓂᒃ	ᒐᕙᒪ@ᒃᑯᓐ@ᓂᒃ
ᐸᕐᓇᐅᑦ	ᐸᕐᓇ@ᐅᑦ
ᑕᒻᒪᕈᒪ	ᑕᒻᒪ@ᕈᒪ
